ID,site,startTime,3,capacity,vaccineType
798,48,2021-06-05T00:30:00+00:00,10,50,48
799,49,2021-06-05T01:30:00+00:00,10,50,49
800,50,2021-06-05T02:30:00+00:00,10,50,50
801,1,2021-06-05T03:30:00+00:00,10,50,1
802,2,2021-06-05T04:30:00+00:00,10,50,2
803,3,2021-06-05T05:30:00+00:00,10,50,3
804,4,2021-06-05T06:30:00+00:00,10,50,4
805,5,2021-06-05T07:30:00+00:00,10,50,5
806,6,2021-06-05T08:30:00+00:00,10,50,6
807,7,2021-06-05T09:30:00+00:00,10,50,7
808,8,2021-06-05T10:30:00+00:00,10,50,8
809,9,2021-06-05T11:30:00+00:00,10,50,9
810,10,2021-06-05T12:30:00+00:00,10,50,10
811,11,2021-06-05T13:30:00+00:00,10,50,11
812,12,2021-06-05T14:30:00+00:00,10,50,12
813,13,2021-06-05T15:30:00+00:00,10,50,13
814,14,2021-06-05T16:30:00+00:00,10,50,14
815,15,2021-06-05T17:30:00+00:00,10,50,15
816,16,2021-06-05T18:30:00+00:00,10,50,16
817,17,2021-06-05T19:30:00+00:00,10,50,17
818,18,2021-06-05T20:30:00+00:00,10,50,18
819,19,2021-06-05T21:30:00+00:00,10,50,19
820,20,2021-06-05T22:30:00+00:00,10,50,20
821,21,2021-06-05T23:30:00+00:00,10,50,21
1798,98,2021-06-05T00:30:00+00:00,10,50,98
1799,99,2021-06-05T01:30:00+00:00,10,50,99
1800,100,2021-06-05T02:30:00+00:00,10,50,100
1801,51,2021-06-05T03:30:00+00:00,10,50,51
1802,52,2021-06-05T04:30:00+00:00,10,50,52
1803,53,2021-06-05T05:30:00+00:00,10,50,53
1804,54,2021-06-05T06:30:00+00:00,10,50,54
1805,55,2021-06-05T07:30:00+00:00,10,50,55
1806,56,2021-06-05T08:30:00+00:00,10,50,56
1807,57,2021-06-05T09:30:00+00:00,10,50,57
1808,58,2021-06-05T10:30:00+00:00,10,50,58
1809,59,2021-06-05T11:30:00+00:00,10,50,59
1810,60,2021-06-05T12:30:00+00:00,10,50,60
1811,61,2021-06-05T13:30:00+00:00,10,50,61
1812,62,2021-06-05T14:30:00+00:00,10,50,62
1813,63,2021-06-05T15:30:00+00:00,10,50,63
1814,64,2021-06-05T16:30:00+00:00,10,50,64
1815,65,2021-06-05T17:30:00+00:00,10,50,65
1816,66,2021-06-05T18:30:00+00:00,10,50,66
1817,67,2021-06-05T19:30:00+00:00,10,50,67
1818,68,2021-06-05T20:30:00+00:00,10,50,68
1819,69,2021-06-05T21:30:00+00:00,10,50,69
1820,70,2021-06-05T22:30:00+00:00,10,50,70
1821,71,2021-06-05T23:30:00+00:00,10,50,71
2798,148,2021-06-05T00:30:00+00:00,10,50,148
2799,149,2021-06-05T01:30:00+00:00,10,50,149
2800,150,2021-06-05T02:30:00+00:00,10,50,150
2801,101,2021-06-05T03:30:00+00:00,10,50,101
2802,102,2021-06-05T04:30:00+00:00,10,50,102
2803,103,2021-06-05T05:30:00+00:00,10,50,103
2804,104,2021-06-05T06:30:00+00:00,10,50,104
2805,105,2021-06-05T07:30:00+00:00,10,50,105
2806,106,2021-06-05T08:30:00+00:00,10,50,106
2807,107,2021-06-05T09:30:00+00:00,10,50,107
2808,108,2021-06-05T10:30:00+00:00,10,50,108
2809,109,2021-06-05T11:30:00+00:00,10,50,109
2810,110,2021-06-05T12:30:00+00:00,10,50,110
2811,111,2021-06-05T13:30:00+00:00,10,50,111
2812,112,2021-06-05T14:30:00+00:00,10,50,112
2813,113,2021-06-05T15:30:00+00:00,10,50,113
2814,114,2021-06-05T16:30:00+00:00,10,50,114
2815,115,2021-06-05T17:30:00+00:00,10,50,115
2816,116,2021-06-05T18:30:00+00:00,10,50,116
2817,117,2021-06-05T19:30:00+00:00,10,50,117
2818,118,2021-06-05T20:30:00+00:00,10,50,118
2819,119,2021-06-05T21:30:00+00:00,10,50,119
2820,120,2021-06-05T22:30:00+00:00,10,50,120
2821,121,2021-06-05T23:30:00+00:00,10,50,121
3798,198,2021-06-05T00:30:00+00:00,10,50,198
3799,199,2021-06-05T01:30:00+00:00,10,50,199
3800,200,2021-06-05T02:30:00+00:00,10,50,200
3801,151,2021-06-05T03:30:00+00:00,10,50,151
3802,152,2021-06-05T04:30:00+00:00,10,50,152
3803,153,2021-06-05T05:30:00+00:00,10,50,153
3804,154,2021-06-05T06:30:00+00:00,10,50,154
3805,155,2021-06-05T07:30:00+00:00,10,50,155
3806,156,2021-06-05T08:30:00+00:00,10,50,156
3807,157,2021-06-05T09:30:00+00:00,10,50,157
3808,158,2021-06-05T10:30:00+00:00,10,50,158
3809,159,2021-06-05T11:30:00+00:00,10,50,159
3810,160,2021-06-05T12:30:00+00:00,10,50,160
3811,161,2021-06-05T13:30:00+00:00,10,50,161
3812,162,2021-06-05T14:30:00+00:00,10,50,162
3813,163,2021-06-05T15:30:00+00:00,10,50,163
3814,164,2021-06-05T16:30:00+00:00,10,50,164
3815,165,2021-06-05T17:30:00+00:00,10,50,165
3816,166,2021-06-05T18:30:00+00:00,10,50,166
3817,167,2021-06-05T19:30:00+00:00,10,50,167
3818,168,2021-06-05T20:30:00+00:00,10,50,168
3819,169,2021-06-05T21:30:00+00:00,10,50,169
3820,170,2021-06-05T22:30:00+00:00,10,50,170
3821,171,2021-06-05T23:30:00+00:00,10,50,171
5023,248,2021-06-05T00:30:00+00:00,10,50,248
5025,249,2021-06-05T01:30:00+00:00,10,50,249
5027,250,2021-06-05T02:30:00+00:00,10,50,250
5029,201,2021-06-05T03:30:00+00:00,10,50,201
5031,202,2021-06-05T04:30:00+00:00,10,50,202
5033,203,2021-06-05T05:30:00+00:00,10,50,203
5035,204,2021-06-05T06:30:00+00:00,10,50,204
5037,205,2021-06-05T07:30:00+00:00,10,50,205
5039,206,2021-06-05T08:30:00+00:00,10,50,206
5041,207,2021-06-05T09:30:00+00:00,10,50,207
5043,208,2021-06-05T10:30:00+00:00,10,50,208
5045,209,2021-06-05T11:30:00+00:00,10,50,209
5047,210,2021-06-05T12:30:00+00:00,10,50,210
5049,211,2021-06-05T13:30:00+00:00,10,50,211
5051,212,2021-06-05T14:30:00+00:00,10,50,212
5053,213,2021-06-05T15:30:00+00:00,10,50,213
5055,214,2021-06-05T16:30:00+00:00,10,50,214
5057,215,2021-06-05T17:30:00+00:00,10,50,215
5059,216,2021-06-05T18:30:00+00:00,10,50,216
5061,217,2021-06-05T19:30:00+00:00,10,50,217
5063,218,2021-06-05T20:30:00+00:00,10,50,218
5065,219,2021-06-05T21:30:00+00:00,10,50,219
5067,220,2021-06-05T22:30:00+00:00,10,50,220
5069,221,2021-06-05T23:30:00+00:00,10,50,221
5798,298,2021-06-05T00:30:00+00:00,10,50,298
5799,299,2021-06-05T01:30:00+00:00,10,50,299
5800,300,2021-06-05T02:30:00+00:00,10,50,300
5801,251,2021-06-05T03:30:00+00:00,10,50,251
5802,252,2021-06-05T04:30:00+00:00,10,50,252
5803,253,2021-06-05T05:30:00+00:00,10,50,253
5804,254,2021-06-05T06:30:00+00:00,10,50,254
5805,255,2021-06-05T07:30:00+00:00,10,50,255
5806,256,2021-06-05T08:30:00+00:00,10,50,256
5807,257,2021-06-05T09:30:00+00:00,10,50,257
5808,258,2021-06-05T10:30:00+00:00,10,50,258
5809,259,2021-06-05T11:30:00+00:00,10,50,259
5810,260,2021-06-05T12:30:00+00:00,10,50,260
5811,261,2021-06-05T13:30:00+00:00,10,50,261
5812,262,2021-06-05T14:30:00+00:00,10,50,262
5813,263,2021-06-05T15:30:00+00:00,10,50,263
5814,264,2021-06-05T16:30:00+00:00,10,50,264
5815,265,2021-06-05T17:30:00+00:00,10,50,265
5816,266,2021-06-05T18:30:00+00:00,10,50,266
5817,267,2021-06-05T19:30:00+00:00,10,50,267
5818,268,2021-06-05T20:30:00+00:00,10,50,268
5819,269,2021-06-05T21:30:00+00:00,10,50,269
5820,270,2021-06-05T22:30:00+00:00,10,50,270
5821,271,2021-06-05T23:30:00+00:00,10,50,271
6798,348,2021-06-05T00:30:00+00:00,10,50,348
6799,349,2021-06-05T01:30:00+00:00,10,50,349
6800,350,2021-06-05T02:30:00+00:00,10,50,350
6801,301,2021-06-05T03:30:00+00:00,10,50,301
6802,302,2021-06-05T04:30:00+00:00,10,50,302
6803,303,2021-06-05T05:30:00+00:00,10,50,303
6804,304,2021-06-05T06:30:00+00:00,10,50,304
6805,305,2021-06-05T07:30:00+00:00,10,50,305
6806,306,2021-06-05T08:30:00+00:00,10,50,306
6807,307,2021-06-05T09:30:00+00:00,10,50,307
6808,308,2021-06-05T10:30:00+00:00,10,50,308
6809,309,2021-06-05T11:30:00+00:00,10,50,309
6810,310,2021-06-05T12:30:00+00:00,10,50,310
6811,311,2021-06-05T13:30:00+00:00,10,50,311
6812,312,2021-06-05T14:30:00+00:00,10,50,312
6813,313,2021-06-05T15:30:00+00:00,10,50,313
6814,314,2021-06-05T16:30:00+00:00,10,50,314
6815,315,2021-06-05T17:30:00+00:00,10,50,315
6816,316,2021-06-05T18:30:00+00:00,10,50,316
6817,317,2021-06-05T19:30:00+00:00,10,50,317
6818,318,2021-06-05T20:30:00+00:00,10,50,318
6819,319,2021-06-05T21:30:00+00:00,10,50,319
6820,320,2021-06-05T22:30:00+00:00,10,50,320
6821,321,2021-06-05T23:30:00+00:00,10,50,321
7798,398,2021-06-05T00:30:00+00:00,10,50,398
7799,399,2021-06-05T01:30:00+00:00,10,50,399
7800,400,2021-06-05T02:30:00+00:00,10,50,400
7801,351,2021-06-05T03:30:00+00:00,10,50,351
7802,352,2021-06-05T04:30:00+00:00,10,50,352
7803,353,2021-06-05T05:30:00+00:00,10,50,353
7804,354,2021-06-05T06:30:00+00:00,10,50,354
7805,355,2021-06-05T07:30:00+00:00,10,50,355
7806,356,2021-06-05T08:30:00+00:00,10,50,356
7807,357,2021-06-05T09:30:00+00:00,10,50,357
7808,358,2021-06-05T10:30:00+00:00,10,50,358
7809,359,2021-06-05T11:30:00+00:00,10,50,359
7810,360,2021-06-05T12:30:00+00:00,10,50,360
7811,361,2021-06-05T13:30:00+00:00,10,50,361
7812,362,2021-06-05T14:30:00+00:00,10,50,362
7813,363,2021-06-05T15:30:00+00:00,10,50,363
7814,364,2021-06-05T16:30:00+00:00,10,50,364
7815,365,2021-06-05T17:30:00+00:00,10,50,365
7816,366,2021-06-05T18:30:00+00:00,10,50,366
7817,367,2021-06-05T19:30:00+00:00,10,50,367
7818,368,2021-06-05T20:30:00+00:00,10,50,368
7819,369,2021-06-05T21:30:00+00:00,10,50,369
7820,370,2021-06-05T22:30:00+00:00,10,50,370
7821,371,2021-06-05T23:30:00+00:00,10,50,371
